PAY_SCALE_ID,PAY_SCALE_START,PAY_SCALE_END,CR_BY,MOD_BY,ACTIVE,OFLINE
97.0,19500,25600,5.0,,Y,0
98.0,14500,18700,5.0,,Y,0
99.0,16400,20400,5.0,,Y,0
100.0,9580,13450,5.0,,Y,0
101.0,19000,25700,5.0,,Y,0
102.0,23100,23700,6.0,,Y,0
103.0,16400,25000,6.0,,Y,0
104.0,8550,14600,5.0,,Y,0
105.0,16200,18300,5.0,,Y,0
106.0,13000,20000,5.0,,Y,0
107.0,16400,24400,5.0,,Y,0
108.0,16500,25000,5.0,,Y,0
109.0,13200,20000,5.0,,Y,0
110.0,18400,,5.0,,Y,0
111.0,21000,28000,6.0,,Y,0
112.0,18600,22600,6.0,,Y,0
113.0,7450,11500,1.0,,Y,0
114.0,7880,13500,5.0,,Y,0
115.0,17000,19000,4.0,,Y,0
116.0,15400,22400,4.0,,Y,0
117.0,7500,12000,5.0,,Y,0
118.0,18000,26000,4.0,,Y,0
119.0,20475,26475,4.0,,Y,0
120.0,15350,22000,4.0,,Y,0
121.0,16000,21000,4.0,,Y,0
122.0,25400,33100,4.0,,Y,0
123.0,23000,,5.0,,Y,0
124.0,23000,26000,5.0,,Y,0
125.0,16000,22400,5.0,,Y,0
126.0,18750,22850,5.0,,Y,0
