DESIGNATION_ID,DESIGNATION_DESC,CR_BY,MOD_BY,ACTIVE,OFLINE
461.0,FORMER SCIENTIST F & HEAD,7.0,5.0,Y,0
462.0,ASSOCIATE DEAN,7.0,,Y,0
463.0,CHIEF SCIENTIST AND PROFESSOR,7.0,,Y,0
464.0,BREEDER,8.0,,Y,0
465.0,SR SOIL SCIENTIST,7.0,,Y,0
466.0,RESEARCH ENGINEER,8.0,,Y,0
467.0,SENIOR WATER TECHNOLOGIST,2.0,,Y,0
468.0,JR. RESEARCH OFFICER,9.0,,Y,0
469.0,SR. SOIL CHEMIST,7.0,,Y,0
470.0,ASSOCIATE DEAN AND PROF.,7.0,,Y,0
471.0,SR. CHIEF CHEMIST,6.0,,Y,0
472.0,SR. SPECIALIST,6.0,,Y,0
473.0,SR. ENTOMOLOGIST,1.0,,Y,0
474.0,ASST. ENTOMOLOGIST,1.0,,Y,0
475.0,ENTOMOLOGIST,1.0,,Y,0
476.0,PROJECT DIRECTOR,2.0,,Y,0
477.0,SENIOR PLANT BREEDER,2.0,,Y,0
478.0,PLANT BREEDER,2.0,,Y,0
479.0,SR COTTON BREEDER,4.0,,Y,0
480.0,SR. GENETICIST,8.0,,Y,0
481.0,PRINCIPAL SCIENTIST AND HEAD,2.0,,Y,0
482.0,GENETICIST,2.0,,Y,0
483.0,SR. HORTICULTURIST,1.0,,Y,0
484.0,ASST. RESEARCH OFFICER,1.0,,Y,0
485.0,SR. FARM ECONOMIST,8.0,,Y,0
486.0,SR. ECONOMIST,3.0,,Y,0
487.0,ECONOMIST,3.0,,Y,0
488.0,FOREST OFFICER,9.0,,Y,0
489.0,SENIOR HORTICULTURIST,2.0,,Y,0
490.0,FLORICULTUREST,2.0,,Y,0
491.0,VEGETABLE BREEDER,2.0,,Y,0
492.0,SENIOR VEGETABLE BREEDER,2.0,,Y,0
493.0,FIELD OFFICER,8.0,,Y,0
494.0,SR. PLANT PATHOLOGIST,9.0,,Y,0
495.0,SR. PLANT BREEDER,7.0,,Y,0
496.0,PATHOLOGIST,7.0,,Y,0
497.0,BIOTECHNOLOGIST,7.0,,Y,0
498.0,E N T SPECIALIST,5.0,,Y,0
499.0,SR E N T SPECIALIST,5.0,,Y,0
