DEGREE_ID,DEGREE_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE
400.0,M. P. E,4.0,,Y,0
401.0,B AND C,5.0,,Y,0
402.0,B AND C CERTIFICATES OF N.C.C ENGRS,5.0,,Y,0
403.0,B. P. ED,4.0,,Y,0
404.0,B. F. A,4.0,,Y,0
405.0,G.D.ART,4.0,,Y,0
406.0,M.F.A,4.0,,Y,0
407.0,M.SC AGRI,5.0,,Y,0
408.0,SENIOR RESIDENCY,5.0,,Y,0
409.0,B. H. M. S. ,5.0,,Y,0
410.0,D.M.S,4.0,,Y,0
411.0,F R C ,5.0,,Y,0
412.0,POST GRADUATE DIPLOMA,5.0,,Y,0
413.0,D R M,5.0,,Y,0
414.0,B.SC. AGRI.,4.0,,Y,0
415.0,M.SC. DAIRY SC.,4.0,,Y,0
416.0,B.SC. AGRICULTURAL ENGG. AND TECH.,4.0,,Y,0
417.0,M.SC. AGRICULTURAL ENGG.,4.0,,Y,0
418.0,F T D C,5.0,,Y,0
419.0,M.SC.,4.0,,Y,0
420.0,D.PHIL,4.0,,Y,0
421.0,E.C.F.M.G.,4.0,,Y,0
422.0,M.D.,4.0,,Y,0
423.0,W.H.O. RESEARCH,4.0,,Y,0
424.0,M. COM,4.0,,Y,0
425.0,F N A M S,5.0,,Y,0
426.0,MATERS DIPLOMA IN PUBLIC ADMN.,4.0,,Y,0
427.0,INTERMEDIATE IN COST ACCOUNTANCY,4.0,,Y,0
428.0,D.T.C.D.,4.0,,Y,0
429.0,D.SC.,4.0,,Y,0
430.0,D.LITT.,4.0,,Y,0
431.0,M.PHIL NURSING,4.0,,Y,0
432.0,M. PHIL NURSING,4.0,,Y,0
433.0,D T M AND H,5.0,,Y,0
434.0,DEGREE,5.0,,Y,0
435.0,M.SC ENGG.,5.0,,Y,0
436.0,M. TECH.,4.0,,Y,0
437.0,BACHELOR OF PRODUCTION ENGG.,4.0,,Y,0
438.0,MASTER OF PRODUCTION ENGG.,4.0,,Y,0
439.0,IMPORT AND EXPORT MANAGEMENT,4.0,,Y,0
440.0,B.E.,4.0,,Y,0
441.0,M.B.B.S.,4.0,,Y,0
442.0,M.CH.,4.0,5.0,Y,0
443.0,B.SC ENGG.,5.0,,Y,0
444.0,M.SC TECH.,5.0,,Y,0
445.0,C E I ,5.0,,Y,0
446.0,B.SC PART I,5.0,,Y,0
447.0,F.I.M.S.A,5.0,,Y,0
448.0,B.SC HONS,5.0,,Y,0
449.0,M.SC ANIMAL NUTRITION,4.0,,Y,0
450.0,G.C.E.H,4.0,,Y,0
451.0,M.B.S.H,4.0,,Y,0
452.0,PRE MEDICAL DEGREE,5.0,,Y,0
453.0,M J S,4.0,,Y,0
454.0,DIP. N.I.H.,4.0,,Y,0
455.0,D H B,5.0,,Y,0
456.0,B. LIB. SC,4.0,,Y,0
457.0,M.L.I.SC,4.0,,Y,0
458.0,D P M R,5.0,,Y,0
459.0,D. ORTH,5.0,,Y,0
460.0,L. C. E.H ,5.0,,Y,0
461.0,P D I S,5.0,,Y,0
462.0,P G D H R M,5.0,,Y,0
463.0,P G D I M,5.0,,Y,0
464.0,C C F M,5.0,,Y,0
465.0,MUNSHI,5.0,,Y,0
466.0,POST M.SC DIPLOMA,5.0,,Y,0
467.0,A L I M A T,22.0,,Y,0
468.0,G A M S,22.0,,Y,0
469.0,M S A M,22.0,,Y,0
470.0,BACHELOR OF JOURNALISM,4.0,,Y,0
471.0,P N D S,22.0,,Y,0
472.0,D U M S,22.0,,Y,0
473.0,INTENSIVE TRAINING,5.0,,Y,0
474.0,M. LIB. SC,4.0,,Y,0
475.0,M.SC APPLIED GEOLOGY,5.0,,Y,0
476.0,B U M M S,5.0,,Y,0
477.0,P G ADULT AND NON FORMAL EDUCATION,5.0,,Y,0
478.0,P G HRD,5.0,,Y,0
479.0,D.SC ENGG.,5.0,,Y,0
480.0,C ENGG.,5.0,,Y,0
481.0,F.I.C.W.A,5.0,,Y,0
482.0,ONE YEAR TRAINING COURSE,5.0,,Y,0
483.0,FACULTY TRAINING,5.0,,Y,0
484.0,PUBLIC ANALYST,5.0,,Y,0
485.0,CIIB,5.0,,Y,0
486.0,MASTER OF URBAN AND REGIONAL PLANNING,5.0,,Y,0
487.0,M.C.M,5.0,,Y,0
488.0,ADVANCE DIPLOMA IN MANAGEMENT,5.0,,Y,0
489.0,PGDCS,5.0,,Y,0
490.0,B.A,5.0,,Y,0
491.0,D.C.P.A,5.0,,Y,0
492.0,M.B.A,5.0,,Y,0
493.0,MASTER OF INTERNATIONAL STUDIES ,5.0,,Y,0
494.0,INTERNAL MEDICINE,5.0,,Y,0
495.0,CERTIFIED IN NEPHROLOGY,5.0,,Y,0
496.0,GRADUATE IETE,5.0,,Y,0
497.0,MASTER IN HOSPITAL ADMINISTRATION,5.0,,Y,0
498.0,H  AND F W MANAGEMENT,5.0,,Y,0
499.0,HOSPITAL MANAGEMENT,5.0,,Y,0
500.0,COMPANY SECRETARYSHIP,5.0,,Y,0
501.0,B STATISTICS,5.0,23.0,Y,0
502.0,M.STATISTICS,5.0,23.0,Y,0
503.0,F.A.I.S,5.0,,Y,0
504.0,F.R.V.C.S,5.0,,Y,0
505.0,PSC,5.0,,Y,0
506.0,C.A.I.I.B,5.0,,Y,0
507.0,F.M.A.S,5.0,,Y,0
508.0,B.V. SC AND A.H,5.0,,Y,0
509.0,PROFESSIONAL EXAMINATION IN BUILDING AND QTY SURVEYING,5.0,,Y,0
510.0,POST GRADUATE COURSE,5.0,,Y,0
511.0,M.L,5.0,,Y,0
512.0,G.I.M.E,5.0,,Y,0
513.0,G.I.E.E,5.0,,Y,0
514.0,G.I.P.E,5.0,,Y,0
515.0,F.I.E,5.0,,Y,0
516.0,NATIONAL ELIGIBILIGY TEST,5.0,,Y,0
517.0,A.N.S.I  ST,5.0,,Y,0
518.0,DIPLOMA IN OPTHALMIC MEDICINE AND SURGERY,5.0,,Y,0
519.0,MASTER FG,5.0,,Y,0
520.0,GRADUATE DIPLOMA IN BUSINESS,5.0,,Y,0
521.0,MASTERS IN INDUSTRIAL MANAGEMENT,5.0,,Y,0
522.0,REFRESHERS COURSE IN LEGISLATIVE DRAFTING,5.0,,Y,0
523.0,LONG DEFENCE MANAGEMENT COURSE ,5.0,,Y,0
524.0,TRAINING IN SOIL SURVEY,5.0,,Y,0
525.0,M.N.A.M.S,5.0,,Y,0
526.0,FACULTY DEVELOPMENT PROGRAMME,23.0,,Y,0
527.0,POST DOCTORAL CERTIFICATE COURSE,5.0,,Y,0
528.0,MEDICAL IMPEDANCE TECHNOLOGY COURSE,5.0,,Y,0
529.0,BRITISH FILM DIRECTOR OF CINEMATOGRAPHY,5.0,,Y,0
530.0,DIRECTOR OF SPECIAL EFFECT ,5.0,,Y,0
531.0,GRADUATE OF FIRE ENGINEERING,5.0,,Y,0
532.0,MASTER IN FIRE ENGINEERING,5.0,,Y,0
533.0,TRAINING IN FINANCIAL MANAGEMENT OF HEALTH,5.0,,Y,0
534.0,TRAINING IN REPRODUCTIVE HEALTH MANAGEMENT  POPULATION CONTROL,5.0,,Y,0
535.0,LLD,5.0,,Y,0
536.0,L.L.D,5.0,,Y,0
537.0,ADVANCE DIPLOMA IN MASS MEDIA,5.0,,Y,0
538.0,ASSOCIATE MEMBERSHIP EXAMINATION,5.0,,Y,0
539.0,PRE DEGREE,5.0,,Y,0
540.0,GRADUATE DIPLOMA,5.0,,Y,0
541.0,A.V.S.I. SUGAR TECH.,5.0,,Y,0
542.0,MEMBERSHIP EXAMINATION,5.0,,Y,0
543.0,POST DIPLOMA ONE YEAR FULL TIME,5.0,,Y,0
544.0,C.D.T.C. SPL. IN CERAMIC,5.0,,Y,0
545.0,LONG GUNNERY STAFF COURSE,5.0,,Y,0
546.0,HIGHER DEFENCE MANAGEMENT,5.0,,Y,0
547.0,GRADUATE IN MARINE ENGG,5.0,,Y,0
548.0,EX. DIPLOMA N BUSINESS ADMN,5.0,,Y,0
549.0,F I C M C H,5.0,,Y,0
550.0,F I C O G,5.0,,Y,0
551.0,MMED,5.0,,Y,0
552.0,F R V C S,5.0,,Y,0
553.0,DAYANAND COLLEGE OF MANAGEMENT ,5.0,,Y,0
554.0,TRADE POLICY COURSE,5.0,,Y,0
555.0,RESEARCH IN ECONOMICS,5.0,,Y,0
